id,is_disable,name,gender,Dateofbirth,Birth place,image,bio,orginal_name
10,1,A.V.S,M/F,no-data-dob,no-data-from,https://www.filmibeat.com/img/162x203/popcorn/profile_photos/avs-10894.jpg,"A.V.S is an Indian film Actor/Director, who has worked predominantly in Telugu movie industry. A.V.S has worked in popular movies like Real Star, Hum Tum. A.V.S's previous film to hit the theatres was Real Star in the year 2014.",A.V.S
11,1,Aadar Jain,M/F,no-data-dob,no-data-from,https://www.filmibeat.com/img/162x203/popcorn/profile_photos/aadar-jain-20170824104905-38619.jpg,"Aadar Jain is an Indian film Actor, who has worked predominantly in Bollywood. Her previous film to hit the theatres was Qaidi Band (2017) in the year 2017.",Aadar Jain
12,1,Aadarsha Subramani,M/F,no-data-dob,no-data-from,https://www.filmibeat.com/img/162x203/popcorn/profile_photos/aadarsha-subramani-25154.jpg,"Aadarsha Subramani is an Indian film Actor/Director, who has worked predominantly in Kannada movie industry. Aadarsha Subramani has worked in popular movies like Hushaar, Thavarina Siri. Aadarsha Subramani's previous film to hit the theatres was Hushaar in the year 2009.",Aadarsha Subramani
13,1,Aadesh Shrivastav,M/F, 04 Sep 1966,no-data-from,https://www.filmibeat.com/img/162x203/popcorn/profile_photos/aadesh-shrivastav-2549.jpg,Aadesh Shrivastav,
14,1,Aadharsh,M/F,no-data-dob,no-data-from,https://www.filmibeat.com/img/162x203/popcorn/profile_photos/aadharsh-23864.jpg,"Aadharsh is an Indian film Actor, who has worked predominantly in Tamil movie industry. He has worked in popular movies like Saaindhaadu Saaindhaadu, Iniyellam Vasantham. His previous film to hit the theatres was Saaindhaadu Saaindhaadu in the year 2018.",Aadharsh
15,1,Aadhav Kannadhasan,M/F,no-data-dob,no-data-from,https://www.filmibeat.com/img/162x203/popcorn/profile_photos/aadhav-kannadhasan-25614.jpg,"Aadhav kannadhasan is an Indian film Actor, who has worked predominantly in Tamil movie industry. He has worked in popular movies like Kaalidas, Yamirukka Bayame. His previous film to hit the theatres was Kaalidas in the year 2019.",Aadhav Kannadhasan
16,1,Aadhi,M/F, 14 Dec 1982, Chennai,https://www.filmibeat.com/img/162x203/popcorn/profile_photos/aadhi-20141112144616-9177.jpg,"Aadhi (Sai Pradeep Pinisetty) is an Indian film actor, who has mainly appeared in Tamil films. He debuted in the 2006 Telugu film Oka V Chitram and made his big break with S. Shankar's 2009 film Eeram. His father, Ravi Raja Pinisetty has directed 56 films.Early lifeBorn and brought up in Chennai, Tamil Nadu, India, Aadhi was the youngest son of noted Telugu director Ravi Raja Pinisetty. He studied at Don Bosco School and later did Engineering.Subsequently, he enrolled at Satyanand Institute of Acting in Vishakapatnam and trained to become an actor.",Aadhi
17,1,Aadhira Pandilakshmi,M/F,no-data-dob,no-data-from,https://www.filmibeat.com/img/162x203/popcorn/profile_photos/aadhira-pandilakshmi-20190206154143-43567.jpg,"Aadhira Pandilakshmi is an Indian film Actress, who has worked predominantly in Tamil movie industry. She has worked in popular movies like Namma Veettu Pillai, To Let. Her previous film to hit the theatres was Namma Veettu Pillai in the year 2019.",Aadhira Pandilakshmi
18,1,Aadhiraj,M/F,no-data-dob,no-data-from,https://www.filmibeat.com/img/162x203/popcorn/profile_photos/aadhiraj-3545.jpg,"Aadhiraj is an Indian film Director/Lyricst, who has worked predominantly in Tamil movie industry. Aadhiraj has worked in popular movies like Erra Gulabi, Silandhi. Aadhiraj's previous film to hit the theatres was Erra Gulabi in the year 2008.",Aadhiraj
19,1,Aadi Saikumar,M/F, 23 Dec 1987," Madras, Tamil Nadu",https://www.filmibeat.com/img/162x203/popcorn/profile_photos/aadi-saikumar-20190517110333-23530.jpg,"Aadi is an Indian film actor, and accomplished cricketer, known for his works exclusively in Telugu cinema. Born to veteran actor Sai Kumar Pudipeddi, Aadi made his film debut in 2011 with the super hit film Prema Kavali under the direction of K. Vijaya Bhaskar. The film garnered critical acclaim for Aadi and placed him among the noted young actors. He won the Filmfare Award for Best Male Debut � South for 2011.Personal life Aadi did his schooling in Chennai in Padma Sheshadri till 7th standard and then moved to St. Andrews School in Hyderabad followed by St Johns for Intermediate and completed his graduation from Bhavans Vivekananda College. He excelled in studies, and had an inclination towards acting, and was all-rounder in Cricket, he was selected for under-19 Ranji Cricket Team. He played under the captaincy of Ambati Rayudu, the climax being Pragyan Ojha, the Indian Team player who was his room-mate during their Sri Lanka trip. Aadi got Married on December 2014, and the couple has a daughter.CareerAadi debuted in 2011 with K. Vijaya Bhaskar's directorial Prema Kavali. In this love story, he played the role of Srinu, a NCC Cadet who sets out to find the one who tortures his lover, thus trying to regain her heart after a break-up. He got highly positive response from the critics as well as the audience. Aadi has won the Hyderabad Times award 2011 for Promising Newcomer Male, CineMAA Awards (2012) for best Debut Actor of 2012 and Filmfare Awards South (2012) for Best Male Debut � South of 2011. It ran for 100 days and was declared a Blockbuster",Aadi Saikumar
id,is_disable,name,gender,Dateofbirth,Birth place,image,bio,orginal_name
1,1,A Karunakaran,M/F,no-data-dob,no-data-from,https://www.filmibeat.com/img/162x203/popcorn/profile_photos/a-karunakaran-4060.jpg,"A. Karunakaran is a film director and screenwriter who works in Telugu cinema. He is one of the successful directors introduced by Pawan Kalyan into the industry.Early LifeKarunakaran debuted in the industry through Pawan Kalyan's Tholi Prema, which is one of the cult classic love stories till date in Telugu cinema.",A Karunakaran
